Event Time	Visitor ID	Events Type	Product ID	transactionid	Date
02-06-2015 05:02:12	257597	view	355908		02-06-2015
02-06-2015 05:50:14	992329	view	248676		02-06-2015
02-06-2015 05:13:20	111016	view	318965		02-06-2015
02-06-2015 05:12:36	483717	view	253185		02-06-2015
02-06-2015 05:02:17	951259	view	367447		02-06-2015
02-06-2015 05:48:06	972639	view	22556		02-06-2015
02-06-2015 05:12:03	810725	view	443030		02-06-2015
02-06-2015 05:34:52	794181	view	439202		02-06-2015
02-06-2015 04:54:59	824915	view	428805		02-06-2015
02-06-2015 05:00:05	339335	view	82389		02-06-2015
02-06-2015 05:16:02	176446	view	10572		02-06-2015
02-06-2015 05:08:21	929206	view	410676		02-06-2015
02-06-2015 05:50:29	15795	view	44872		02-06-2015
02-06-2015 05:41:37	598426	view	156489		02-06-2015
02-06-2015 05:47:58	223343	view	402625		02-06-2015
02-06-2015 05:22:11	57036	view	334662		02-06-2015
02-06-2015 05:34:00	1377281	view	251467		02-06-2015
02-06-2015 05:33:56	287857	addtocart	5206		02-06-2015
02-06-2015 05:50:44	1370216	view	176721		02-06-2015
02-06-2015 04:57:59	158090	addtocart	10572		02-06-2015
02-06-2015 05:47:51	1398644	view	135256		02-06-2015
02-06-2015 05:50:52	653756	view	132316		02-06-2015
02-06-2015 05:01:15	1213673	view	343861		02-06-2015
02-06-2015 05:01:15	864246	view	36642		02-06-2015
02-06-2015 05:33:24	125625	view	17655		02-06-2015
02-06-2015 05:58:04	608100	view	187722		02-06-2015
02-06-2015 05:02:53	781127	view	21989		02-06-2015
02-06-2015 05:15:47	1076270	view	262799		02-06-2015
02-06-2015 05:55:55	453474	view	250696		02-06-2015
02-06-2015 05:02:58	1153198	view	388242		02-06-2015
02-06-2015 05:51:06	273888	view	205392		02-06-2015
02-06-2015 05:03:01	849453	view	123990		02-06-2015
02-06-2015 04:56:58	487887	view	345560		02-06-2015
02-06-2015 05:32:57	629333	view	128394		02-06-2015
02-06-2015 05:15:43	1130165	view	45337		02-06-2015
02-06-2015 05:57:25	361387	view	43485		02-06-2015
02-06-2015 05:40:43	112175	view	430845		02-06-2015
02-06-2015 05:37:51	860082	view	22926		02-06-2015
02-06-2015 05:32:40	784669	view	181743		02-06-2015
02-06-2015 05:20:38	1061147	view	280893		02-06-2015
02-06-2015 05:47:37	485456	view	216707		02-06-2015
02-06-2015 05:07:02	1342963	view	306886		02-06-2015
02-06-2015 05:42:57	969887	view	159780		02-06-2015
02-06-2015 05:32:29	759369	view	386527		02-06-2015
02-06-2015 05:32:27	1282360	view	106564		02-06-2015
02-06-2015 04:57:31	233317	view	75994		02-06-2015
02-06-2015 05:43:06	392042	view	280375		02-06-2015
02-06-2015 04:59:32	591038	view	367500		02-06-2015
02-06-2015 05:32:18	692195	view	112792		02-06-2015
02-06-2015 05:39:35	432882	view	102061		02-06-2015
02-06-2015 05:43:10	392042	view	16813		02-06-2015
02-06-2015 05:32:11	808133	view	128499		02-06-2015
02-06-2015 04:59:29	180680	view	456784		02-06-2015
02-06-2015 05:47:30	1151716	view	427725		02-06-2015
02-06-2015 05:15:34	597724	view	134264		02-06-2015
02-06-2015 04:55:45	179437	view	335975		02-06-2015
02-06-2015 04:58:07	794013	view	51354		02-06-2015
02-06-2015 05:19:25	975530	view	55555		02-06-2015
02-06-2015 05:31:42	741702	view	350819		02-06-2015
02-06-2015 05:03:32	1219180	view	422768		02-06-2015
02-06-2015 05:22:42	1143908	view	417464		02-06-2015
02-06-2015 05:36:01	1078178	view	323147		02-06-2015
02-06-2015 05:51:43	503970	view	448136		02-06-2015
02-06-2015 05:39:03	1193904	addtocart	255275		02-06-2015
02-06-2015 05:47:21	376913	view	140848		02-06-2015
02-06-2015 05:31:16	1262470	view	102986		02-06-2015
02-06-2015 05:03:42	1153198	view	357579		02-06-2015
02-06-2015 05:19:27	238317	view	348196		02-06-2015
02-06-2015 05:31:08	800456	view	31514		02-06-2015
02-06-2015 05:13:51	1219627	view	292444		02-06-2015
02-06-2015 04:59:12	526166	view	332761		02-06-2015
02-06-2015 04:58:12	685949	view	395002		02-06-2015
02-06-2015 05:37:28	860082	view	415437		02-06-2015
02-06-2015 04:59:10	721839	view	391289		02-06-2015
02-06-2015 05:52:04	635011	view	142075		02-06-2015
02-06-2015 05:22:51	293285	view	288868		02-06-2015
02-06-2015 05:44:15	21004	view	181142		02-06-2015
02-06-2015 05:44:16	1179587	view	367797		02-06-2015
02-06-2015 05:20:25	1059530	view	302509		02-06-2015
02-06-2015 05:49:06	854656	view	87947		02-06-2015
02-06-2015 05:39:48	77112	view	97879		02-06-2015
02-06-2015 05:57:47	557587	view	131882		02-06-2015
02-06-2015 05:44:23	83034	view	255833		02-06-2015
02-06-2015 05:00:37	233317	view	75994		02-06-2015
02-06-2015 05:44:26	993954	view	227935		02-06-2015
02-06-2015 05:44:27	1045426	view	69533		02-06-2015
02-06-2015 05:14:07	428642	view	359747		02-06-2015
02-06-2015 05:44:40	15795	view	81075		02-06-2015
02-06-2015 04:59:00	97140	view	257675		02-06-2015
02-06-2015 05:54:58	970474	view	324543		02-06-2015
